platform,difference,name
CE02SHBP-LJ01D-05-ADCPTB104,0.0109,diff_km_D2_to_D1
CE02SHBP-LJ01D-05-ADCPTB104,0.0109,diff_km_D3_to_D1
CE02SHBP-LJ01D-05-ADCPTB104,0.0,diff_km_D3_to_D2
CE02SHBP-LJ01D-05-ADCPTB104,0.0109,diff_km_D4_to_D1
CE02SHBP-LJ01D-05-ADCPTB104,0.0,diff_km_D4_to_D2
CE02SHBP-LJ01D-05-ADCPTB104,0.0,diff_km_D4_to_D3
CE02SHBP-LJ01D-05-ADCPTB104,0.0109,diff_km_D5_to_D1
CE02SHBP-LJ01D-05-ADCPTB104,0.0,diff_km_D5_to_D2
CE02SHBP-LJ01D-05-ADCPTB104,0.0,diff_km_D5_to_D3
CE02SHBP-LJ01D-05-ADCPTB104,0.0,diff_km_D5_to_D4
CE02SHBP-LJ01D-06-CTDBPN106,0.0109,diff_km_D2_to_D1
CE02SHBP-LJ01D-06-CTDBPN106,0.0109,diff_km_D3_to_D1
CE02SHBP-LJ01D-06-CTDBPN106,0.0,diff_km_D3_to_D2
CE02SHBP-LJ01D-06-CTDBPN106,0.0109,diff_km_D4_to_D1
CE02SHBP-LJ01D-06-CTDBPN106,0.0,diff_km_D4_to_D2
CE02SHBP-LJ01D-06-CTDBPN106,0.0,diff_km_D4_to_D3
CE02SHBP-LJ01D-06-CTDBPN106,0.0109,diff_km_D5_to_D1
CE02SHBP-LJ01D-06-CTDBPN106,0.0,diff_km_D5_to_D2
CE02SHBP-LJ01D-06-CTDBPN106,0.0,diff_km_D5_to_D3
CE02SHBP-LJ01D-06-CTDBPN106,0.0,diff_km_D5_to_D4
CE02SHBP-LJ01D-06-DOSTAD106,0.0109,diff_km_D2_to_D1
CE02SHBP-LJ01D-06-DOSTAD106,0.0109,diff_km_D3_to_D1
CE02SHBP-LJ01D-06-DOSTAD106,0.0,diff_km_D3_to_D2
CE02SHBP-LJ01D-06-DOSTAD106,0.0109,diff_km_D4_to_D1
CE02SHBP-LJ01D-06-DOSTAD106,0.0,diff_km_D4_to_D2
CE02SHBP-LJ01D-06-DOSTAD106,0.0,diff_km_D4_to_D3
CE02SHBP-LJ01D-06-DOSTAD106,0.0109,diff_km_D5_to_D1
CE02SHBP-LJ01D-06-DOSTAD106,0.0,diff_km_D5_to_D2
CE02SHBP-LJ01D-06-DOSTAD106,0.0,diff_km_D5_to_D3
CE02SHBP-LJ01D-06-DOSTAD106,0.0,diff_km_D5_to_D4
CE02SHBP-LJ01D-07-VEL3DC108,0.0109,diff_km_D2_to_D1
CE02SHBP-LJ01D-07-VEL3DC108,0.0109,diff_km_D3_to_D1
CE02SHBP-LJ01D-07-VEL3DC108,0.0,diff_km_D3_to_D2
CE02SHBP-LJ01D-07-VEL3DC108,0.0109,diff_km_D4_to_D1
CE02SHBP-LJ01D-07-VEL3DC108,0.0,diff_km_D4_to_D2
CE02SHBP-LJ01D-07-VEL3DC108,0.0,diff_km_D4_to_D3
CE02SHBP-LJ01D-07-VEL3DC108,0.0109,diff_km_D5_to_D1
CE02SHBP-LJ01D-07-VEL3DC108,0.0,diff_km_D5_to_D2
CE02SHBP-LJ01D-07-VEL3DC108,0.0,diff_km_D5_to_D3
CE02SHBP-LJ01D-07-VEL3DC108,0.0,diff_km_D5_to_D4
CE02SHBP-LJ01D-08-OPTAAD106,0.0109,diff_km_D2_to_D1
CE02SHBP-LJ01D-08-OPTAAD106,0.0109,diff_km_D3_to_D1
CE02SHBP-LJ01D-08-OPTAAD106,0.0,diff_km_D3_to_D2
CE02SHBP-LJ01D-08-OPTAAD106,0.0109,diff_km_D4_to_D1
CE02SHBP-LJ01D-08-OPTAAD106,0.0,diff_km_D4_to_D2
CE02SHBP-LJ01D-08-OPTAAD106,0.0,diff_km_D4_to_D3
CE02SHBP-LJ01D-08-OPTAAD106,0.0109,diff_km_D5_to_D1
CE02SHBP-LJ01D-08-OPTAAD106,0.0,diff_km_D5_to_D2
CE02SHBP-LJ01D-08-OPTAAD106,0.0,diff_km_D5_to_D3
CE02SHBP-LJ01D-08-OPTAAD106,0.0,diff_km_D5_to_D4
CE02SHBP-LJ01D-09-PCO2WB103,0.0109,diff_km_D2_to_D1
CE02SHBP-LJ01D-09-PCO2WB103,0.0109,diff_km_D3_to_D1
CE02SHBP-LJ01D-09-PCO2WB103,0.0,diff_km_D3_to_D2
CE02SHBP-LJ01D-09-PCO2WB103,0.0109,diff_km_D4_to_D1
CE02SHBP-LJ01D-09-PCO2WB103,0.0,diff_km_D4_to_D2
CE02SHBP-LJ01D-09-PCO2WB103,0.0,diff_km_D4_to_D3
CE02SHBP-LJ01D-09-PCO2WB103,0.0109,diff_km_D5_to_D1
CE02SHBP-LJ01D-09-PCO2WB103,0.0,diff_km_D5_to_D2
CE02SHBP-LJ01D-09-PCO2WB103,0.0,diff_km_D5_to_D3
CE02SHBP-LJ01D-09-PCO2WB103,0.0,diff_km_D5_to_D4
CE02SHBP-LJ01D-10-PHSEND103,0.0109,diff_km_D2_to_D1
CE02SHBP-LJ01D-10-PHSEND103,0.0109,diff_km_D3_to_D1
CE02SHBP-LJ01D-10-PHSEND103,0.0,diff_km_D3_to_D2
CE02SHBP-LJ01D-10-PHSEND103,0.0109,diff_km_D4_to_D1
CE02SHBP-LJ01D-10-PHSEND103,0.0,diff_km_D4_to_D2
CE02SHBP-LJ01D-10-PHSEND103,0.0,diff_km_D4_to_D3
CE02SHBP-LJ01D-10-PHSEND103,0.0109,diff_km_D5_to_D1
CE02SHBP-LJ01D-10-PHSEND103,0.0,diff_km_D5_to_D2
CE02SHBP-LJ01D-10-PHSEND103,0.0,diff_km_D5_to_D3
CE02SHBP-LJ01D-10-PHSEND103,0.0,diff_km_D5_to_D4
CE02SHBP-LJ01D-11-HYDBBA106,0.0045,diff_km_D2_to_D1
CE02SHBP-LJ01D-11-HYDBBA106,0.0045,diff_km_D3_to_D1
CE02SHBP-LJ01D-11-HYDBBA106,0.0,diff_km_D3_to_D2
CE02SHBP-LJ01D-11-HYDBBA106,0.0045,diff_km_D4_to_D1
CE02SHBP-LJ01D-11-HYDBBA106,0.0,diff_km_D4_to_D2
CE02SHBP-LJ01D-11-HYDBBA106,0.0,diff_km_D4_to_D3
CE02SHBP-LJ01D-11-HYDBBA106,0.0045,diff_km_D5_to_D1
CE02SHBP-LJ01D-11-HYDBBA106,0.0,diff_km_D5_to_D2
CE02SHBP-LJ01D-11-HYDBBA106,0.0,diff_km_D5_to_D3
CE02SHBP-LJ01D-11-HYDBBA106,0.0,diff_km_D5_to_D4
CE02SHBP-MJ01C-07-ZPLSCB101,0.0056,diff_km_D2_to_D1
CE02SHBP-MJ01C-07-ZPLSCB101,0.0056,diff_km_D3_to_D1
