platform,difference,name
CE01ISSM,0.0191,diff_km_D2_to_D1
CE01ISSM,0.0268,diff_km_D3_to_D1
CE01ISSM,0.1693,diff_km_D6_to_D1
CE01ISSM,0.1698,diff_km_D6_to_D2
CE01ISSM,0.1588,diff_km_D6_to_D3
CE01ISSM,0.0731,diff_km_D6_to_D4
CE01ISSM,0.1642,diff_km_D6_to_D5
CE01ISSM,0.2243,diff_km_D7_to_D1
CE01ISSM,0.2329,diff_km_D7_to_D2
CE01ISSM,0.2278,diff_km_D7_to_D3
CE01ISSM,0.4272,diff_km_D7_to_D4
CE01ISSM,0.2223,diff_km_D7_to_D5
CE01ISSM,0.0444,diff_km_D3_to_D2
CE01ISSM,0.3859,diff_km_D7_to_D6
CE01ISSM,0.1684,diff_km_D8_to_D1
CE01ISSM,0.1706,diff_km_D8_to_D2
CE01ISSM,0.1557,diff_km_D8_to_D3
CE01ISSM,0.0882,diff_km_D8_to_D4
CE01ISSM,0.1608,diff_km_D8_to_D5
CE01ISSM,0.0153,diff_km_D8_to_D6
CE01ISSM,0.3811,diff_km_D8_to_D7
CE01ISSM,0.159,diff_km_D9_to_D1
CE01ISSM,0.1662,diff_km_D9_to_D2
CE01ISSM,0.203,diff_km_D4_to_D1
CE01ISSM,0.1658,diff_km_D9_to_D3
CE01ISSM,0.3619,diff_km_D9_to_D4
CE01ISSM,0.1605,diff_km_D9_to_D5
CE01ISSM,0.3246,diff_km_D9_to_D6
CE01ISSM,0.0679,diff_km_D9_to_D7
CE01ISSM,0.3211,diff_km_D9_to_D8
CE01ISSM,0.1693,diff_km_D10_to_D1
CE01ISSM,0.1698,diff_km_D10_to_D2
CE01ISSM,0.1588,diff_km_D10_to_D3
CE01ISSM,0.0731,diff_km_D10_to_D4
CE01ISSM,0.1967,diff_km_D4_to_D2
CE01ISSM,0.1642,diff_km_D10_to_D5
CE01ISSM,0.0,diff_km_D10_to_D6
CE01ISSM,0.3859,diff_km_D10_to_D7
CE01ISSM,0.0153,diff_km_D10_to_D8
CE01ISSM,0.3246,diff_km_D10_to_D9
CE01ISSM,0.2015,diff_km_D4_to_D3
CE01ISSM,0.0278,diff_km_D5_to_D1
CE01ISSM,0.0463,diff_km_D5_to_D2
CE01ISSM,0.0058,diff_km_D5_to_D3
CE01ISSM,0.2072,diff_km_D5_to_D4
CE01ISSP,0.669,diff_km_D2_to_D1
CE01ISSP,1.1246,diff_km_D3_to_D1
CE01ISSP,0.4422,diff_km_D6_to_D1
CE01ISSP,0.2344,diff_km_D6_to_D2
CE01ISSP,1.5398,diff_km_D6_to_D3
CE01ISSP,0.6724,diff_km_D6_to_D4
CE01ISSP,0.3567,diff_km_D6_to_D5
CE01ISSP,0.0279,diff_km_D7_to_D1
CE01ISSP,0.6887,diff_km_D7_to_D2
CE01ISSP,1.1002,diff_km_D7_to_D3
CE01ISSP,0.3249,diff_km_D7_to_D4
CE01ISSP,0.1031,diff_km_D7_to_D5
CE01ISSP,1.7742,diff_km_D3_to_D2
CE01ISSP,0.4598,diff_km_D7_to_D6
CE01ISSP,0.2983,diff_km_D8_to_D1
