reference_designator,inst,status,comments
CP05MOAS-A6264-05-ADCPAN000,ADCPA,fixed,wrong stream change to adcp_velocity_earth
CP05MOAS-A6263-05-ADCPAN000,ADCPA,fixed,wrong stream change to adcp_velocity_earth
CP05MOAS-GL375-01-ADCPAM000,ADCPA,glider lost,ADCP data are not sent via telemetry
RS03AXPS-PC03A-07-CAMDSC302,CAMDS,not for review,
CE02SHBP-MJ01C-08-CAMDSB107,CAMDS,not for review,
RS01SUM2-MJ01B-05-CAMDSB103,CAMDS,not for review,
CE01ISSM-MFD37-06-CAMDSA000,CAMDS,not for review,
CE07SHSM-MFD37-06-CAMDSA000,CAMDS,not for review,
RS03INT1-MJ03C-05-CAMDSB303,CAMDS,not for review,
RS01SBPS-PC01A-07-CAMDSC102,CAMDS,not for review,
CE09OSSM-MFD37-06-CAMDSA000,CAMDS,not for review,
CE04OSBP-LV01C-06-CAMDSB106,CAMDS,not for review,
CE06ISSM-MFD37-06-CAMDSA000,CAMDS,not for review,
CE07SHSM-RIC21-00-CPMENG000,CPMEN,not for review,
CP01CNSM-RIC21-00-CPMENG000,CPMEN,not for review,
CP04OSSM-MFC31-00-CPMENG000,CPMEN,not for review,
CP03ISSM-SBC11-00-CPMENG000,CPMEN,not for review,
CP04OSSM-SBC11-00-CPMENG000,CPMEN,not for review,
GA01SUMO-SBC11-00-CPMENG000,CPMEN,not for review,
CE01ISSM-MFC31-00-CPMENG000,CPMEN,not for review,
CP04OSSM-RIC21-00-CPMENG000,CPMEN,not for review,
CE02SHSM-RIC21-00-CPMENG000,CPMEN,not for review,
CP03ISSM-MFC31-00-CPMENG000,CPMEN,not for review,
CE04OSSM-SBC11-00-CPMENG000,CPMEN,not for review,
GS01SUMO-SBC11-00-CPMENG000,CPMEN,not for review,
CE06ISSM-SBC11-00-CPMENG000,CPMEN,not for review,
CE07SHSM-MFC31-00-CPMENG000,CPMEN,not for review,
CE09OSSM-MFC31-00-CPMENG000,CPMEN,not for review,
CE06ISSM-MFC31-00-CPMENG000,CPMEN,not for review,
CP01CNSM-SBC11-00-CPMENG000,CPMEN,not for review,
CE02SHSM-SBC11-00-CPMENG000,CPMEN,not for review,
CE04OSSM-RIC21-00-CPMENG000,CPMEN,not for review,
CP03ISSM-RIC21-00-CPMENG000,CPMEN,not for review,
CE09OSSM-SBC11-00-CPMENG000,CPMEN,not for review,
CP01CNSM-MFC31-00-CPMENG000,CPMEN,not for review,
GI01SUMO-SBC11-00-CPMENG000,CPMEN,not for review,
CE09OSSM-RIC21-00-CPMENG000,CPMEN,not for review,
CE07SHSM-SBC11-00-CPMENG000,CPMEN,not for review,
CE01ISSM-SBC11-00-CPMENG000,CPMEN,not for review,
CP05MOAS-A6264-03-CTDAVN000,CTDAV,fixed,wrong stream change to ctdav_auv_data
CP05MOAS-A6263-03-CTDAVN000,CTDAV,fixed,wrong stream change to ctdav_auv_data
GI05MOAS-PG564-01-CTDGVM000,CTDGV,glider leaked,
GI05MOAS-GL486-04-CTDGVM000,CTDGV,glider leaked,
GI05MOAS-PG577-01-CTDGVM000,CTDGV,glider leaked,
GP05MOAS-PG576-01-CTDGVM000,CTDGV,failed deployment,
GI05MOAS-PG581-01-CTDGVM000,CTDGV,glider leaked,
GS01SUMO-RID16-00-DCLENG000,DCLEN,not for review,
GS01SUMO-SBD12-00-DCLENG000,DCLEN,not for review,
CP04OSSM-SBD12-00-DCLENG000,DCLEN,not for review,
CP03ISSM-RID26-00-DCLENG000,DCLEN,not for review,
CP04OSSM-MFD35-00-DCLENG000,DCLEN,not for review,
CE07SHSM-SBD12-00-DCLENG000,DCLEN,not for review,
CP01CNSM-MFD37-00-DCLENG000,DCLEN,not for review,
CE02SHSM-RID26-00-DCLENG000,DCLEN,not for review,
CE04OSSM-RID26-00-DCLENG000,DCLEN,not for review,
CE06ISSM-SBD17-00-DCLENG000,DCLEN,not for review,
CE07SHSM-MFD35-00-DCLENG000,DCLEN,not for review,
CE02SHSM-SBD12-00-DCLENG000,DCLEN,not for review,
CP01CNSM-MFD35-00-DCLENG000,DCLEN,not for review,
CE07SHSM-RID27-00-DCLENG000,DCLEN,not for review,
CP04OSSM-RID27-00-DCLENG000,DCLEN,not for review,
CE04OSSM-SBD11-00-DCLENG000,DCLEN,not for review,
CE09OSSM-MFD35-00-DCLENG000,DCLEN,not for review,
CP03ISSM-SBD12-00-DCLENG000,DCLEN,not for review,
CP01CNSM-SBD12-00-DCLENG000,DCLEN,not for review,
GI01SUMO-SBD12-00-DCLENG000,DCLEN,not for review,
GI01SUMO-RID16-00-DCLENG000,DCLEN,not for review,
CE06ISSM-MFD37-00-DCLENG000,DCLEN,not for review,
CE06ISSM-MFD35-00-DCLENG000,DCLEN,not for review,
CP04OSSM-RID26-00-DCLENG000,DCLEN,not for review,
GS01SUMO-SBD11-00-DCLENG000,DCLEN,not for review,
CP01CNSM-RID26-00-DCLENG000,DCLEN,not for review,
CP03ISSM-MFD37-00-DCLENG000,DCLEN,not for review,
CE01ISSM-RID16-00-DCLENG000,DCLEN,not for review,
CP03ISSM-MFD35-00-DCLENG000,DCLEN,not for review,
CE09OSSM-SBD11-00-DCLENG000,DCLEN,not for review,
CP01CNSM-RID27-00-DCLENG000,DCLEN,not for review,
GA01SUMO-SBD11-00-DCLENG000,DCLEN,not for review,
GI01SUMO-SBD11-00-DCLENG000,DCLEN,not for review,
CE07SHSM-MFD37-00-DCLENG000,DCLEN,not for review,
CE07SHSM-RID26-00-DCLENG000,DCLEN,not for review,
CP03ISSM-SBD11-00-DCLENG000,DCLEN,not for review,
CE02SHSM-RID27-00-DCLENG000,DCLEN,not for review,
CP04OSSM-MFD37-00-DCLENG000,DCLEN,not for review,
CE09OSSM-RID27-00-DCLENG000,DCLEN,not for review,
CE09OSSM-SBD12-00-DCLENG000,DCLEN,not for review,
GA01SUMO-RID16-00-DCLENG000,DCLEN,not for review,
