refdes,methods,streams-uFrame,database,uFrame,comment,redmine,info
GI03FLMA-RIM01-02-CTDMOG035,[u'bad_telemetered'],[], no,yes,method not valid,,Note: purge from system
GI05MOAS-GL363-01-FLORDM000,telemetered,[u'flord_m_glider_instrument'], no,yes,deleted from baseline,,not for review
GI05MOAS-GL363-02-DOSTAM000,telemetered,[u'dosta_abcdjm_glider_instrument'], no,yes,deleted from baseline,,not for review
GI05MOAS-GL363-04-CTDGVM000,telemetered,[u'ctdgv_m_glider_instrument'], no,yes,deleted from baseline,,not for review
GI05MOAS-GL453-01-FLORDM000,telemetered,[u'flord_m_glider_instrument'], no,yes,deleted from baseline,,not for review
GI05MOAS-GL453-02-DOSTAM000,telemetered,[u'dosta_abcdjm_glider_instrument'], no,yes,deleted from baseline,,not for review
GI05MOAS-GL453-04-CTDGVM000,telemetered,[u'ctdgv_m_glider_instrument'], no,yes,deleted from baseline,,not for review
GP05MOAS-GL469-01-FLORDM000,telemetered,[u'flord_m_glider_instrument'], no,yes,deleted from baseline,,not for review
GP05MOAS-GL469-02-DOSTAM000,telemetered,[u'dosta_abcdjm_glider_instrument'], no,yes,deleted from baseline,,not for review
GP05MOAS-GL469-04-CTDGVM000,telemetered,[u'ctdgv_m_glider_instrument'], no,yes,deleted from baseline,,not for review
RS01SBPD-DP01A-03-FLCDRA104,recovered_inst,[u'dpc_flcdrtd_instrument_recovered'], no,yes,old refdes in database,12240,refdes changed to RS01SBPD-DP01A-03-FLCDRA102
RS01SBPD-DP01A-03-FLNTUA104,recovered_inst,[u'dpc_flnturtd_instrument_recovered'], no,yes,old refdes in database,12240,refdes changed to RS01SBPD-DP01A-04-FLNTUA102
CE04OSPS-PC01B-4C-PCO2WA105,streamed,"[u'pco2w_a_battery_voltage', u'pco2w_a_configuration', u'pco2w_a_regular_status', u'pco2w_a_sami_data_record', u'pco2w_a_sami_data_record_cal', u'pco2w_a_thermistor_voltage']", no,yes,old refdes in database,12240,Note: purge from system
