array_code,Reference Designator,subsite,node,sensor,deploymentNumber,startDateTime,stopDateTime,in_am,in_qcdb_science,status
CE,CE01ISSM-MFC31-00-CPMENG000,CE01ISSM,MFC31,00-CPMENG000,1,2014-04-17T20:45:00,2014-08-16T22:30:00,yes,,not for review
CE,CE01ISSM-MFC31-00-CPMENG000,CE01ISSM,MFC31,00-CPMENG000,2,2014-10-10T17:45:00,2015-04-12T00:30:00,yes,,not for review
CE,CE01ISSM-MFC31-00-CPMENG000,CE01ISSM,MFC31,00-CPMENG000,3,2015-06-03T17:15:00,2015-10-07T00:00:00,yes,,not for review
CE,CE01ISSM-MFC31-00-CPMENG000,CE01ISSM,MFC31,00-CPMENG000,6,2016-09-30T16:45:00,2017-04-17T19:45:00,yes,,not for review
CE,CE01ISSM-MFC31-00-CPMENG000,CE01ISSM,MFC31,00-CPMENG000,7,2017-04-19T04:18:00,2017-10-12T21:50:57,yes,,not for review
CE,CE01ISSM-MFC31-00-CPMENG000,CE01ISSM,MFC31,00-CPMENG000,8,2017-10-12T17:50:38,2018-04-01T10:22:00,yes,,not for review
CE,CE01ISSM-MFC31-00-CPMENG000,CE01ISSM,MFC31,00-CPMENG000,9,2018-04-03T04:22:00,2018-09-30T15:47:00,yes,,not for review
CE,CE01ISSM-MFC31-00-CPMENG000,CE01ISSM,MFC31,00-CPMENG000,10,2018-09-29T20:30:00,,yes,,not for review
CE,CE01ISSM-MFD35-00-DCLENG000,CE01ISSM,MFD35,00-DCLENG000,1,2014-04-17T20:45:00,2014-08-16T22:30:00,yes,,not for review
CE,CE01ISSM-MFD35-00-DCLENG000,CE01ISSM,MFD35,00-DCLENG000,2,2014-10-10T17:45:00,2015-04-12T00:30:00,yes,,not for review
CE,CE01ISSM-MFD35-00-DCLENG000,CE01ISSM,MFD35,00-DCLENG000,3,2015-06-03T17:15:00,2015-10-07T00:00:00,yes,,not for review
CE,CE01ISSM-MFD35-00-DCLENG000,CE01ISSM,MFD35,00-DCLENG000,6,2016-09-30T16:45:00,2017-04-17T19:45:00,yes,,not for review
CE,CE01ISSM-MFD35-00-DCLENG000,CE01ISSM,MFD35,00-DCLENG000,7,2017-04-19T04:18:00,2017-10-12T21:50:57,yes,,not for review
CE,CE01ISSM-MFD35-00-DCLENG000,CE01ISSM,MFD35,00-DCLENG000,8,2017-10-12T17:50:38,2018-04-01T10:22:00,yes,,not for review
CE,CE01ISSM-MFD35-00-DCLENG000,CE01ISSM,MFD35,00-DCLENG000,9,2018-04-03T04:22:00,2018-09-30T15:47:00,yes,,not for review
CE,CE01ISSM-MFD35-00-DCLENG000,CE01ISSM,MFD35,00-DCLENG000,10,2018-09-29T20:30:00,,yes,,not for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,1,2014-04-17T20:45:00,2014-08-16T22:30:00,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,2,2014-10-10T17:45:00,2015-04-12T00:30:00,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,3,2015-06-03T17:15:00,2015-10-07T00:00:00,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,4,2015-10-08T12:02:00,2016-05-10T15:22:00,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,5,2016-05-18T15:44:00,2016-10-02T20:15:00,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,6,2016-09-30T16:45:00,2017-04-17T19:45:00,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,7,2017-04-19T04:18:00,2017-10-12T21:50:57,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,8,2017-10-12T17:50:38,2018-04-01T10:22:00,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,9,2018-04-03T04:22:00,2018-09-30T15:47:00,yes,yes,for review
CE,CE01ISSM-MFD35-01-VEL3DD000,CE01ISSM,MFD35,01-VEL3DD000,10,2018-09-29T20:30:00,,yes,yes,not for review
CE,CE01ISSM-MFD35-02-PRESFA000,CE01ISSM,MFD35,02-PRESFA000,1,2014-04-17T20:45:00,2014-08-16T22:30:00,yes,yes,for review
CE,CE01ISSM-MFD35-02-PRESFA000,CE01ISSM,MFD35,02-PRESFA000,2,2014-10-10T17:45:00,2015-04-12T00:30:00,yes,yes,for review
CE,CE01ISSM-MFD35-02-PRESFA000,CE01ISSM,MFD35,02-PRESFA000,3,2015-06-03T17:15:00,2015-10-07T00:00:00,yes,yes,for review
CE,CE01ISSM-MFD35-02-PRESFA000,CE01ISSM,MFD35,02-PRESFA000,4,2015-10-08T12:02:00,2016-05-10T15:22:00,yes,yes,for review
CE,CE01ISSM-MFD35-02-PRESFA000,CE01ISSM,MFD35,02-PRESFA000,5,2016-05-18T15:44:00,2016-10-02T20:15:00,yes,yes,for review
CE,CE01ISSM-MFD35-02-PRESFA000,CE01ISSM,MFD35,02-PRESFA000,6,2016-09-30T16:45:00,2017-04-17T19:45:00,yes,yes,for review
